@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
222,'2017/06/08 10:58:44:162',3,553.382874,310.621613,48.215706,487.401672,285.471863,63.065121,434.657013,272.749603,65.29422,382.514465,261.273193,61.780479,322.382599,261.741028,54.827988,1
223,'2017/06/08 10:58:44:212',3,555.163452,316.709778,48.488758,494.320984,296.771088,64.170029,443.586456,284.7099,66.949203,391.324219,271.328979,63.960072,329.853577,267.694702,57.329449,1
224,'2017/06/08 10:58:44:262',3,558.175476,320.652405,48.445499,500.170563,306.701843,64.886116,450.544983,295.978149,68.123871,397.521729,281.734436,65.645081,334.949402,275.087311,59.38636,1
225,'2017/06/08 10:58:44:312',3,560.748535,321.975647,47.853878,507.363464,312.625061,64.808868,458.335388,303.889221,68.441772,403.482391,290.374451,66.428711,339.100372,283.654297,60.654854,1
226,'2017/06/08 10:58:44:362',3,565.785339,327.442474,48.133003,518.221558,324.972687,66.262482,470.871887,320.139587,70.221992,412.400055,312.457245,69.182793,350.133942,307.381653,63.380531,1
227,'2017/06/08 10:58:44:412',3,565.104553,314.107544,48.113441,519.77179,317.709534,66.163033,472.902344,316.328033,70.508896,412.766602,313.901367,69.932747,344.284454,316.073761,64.629532,1
228,'2017/06/08 10:58:44:462',3,564.572876,304.307526,48.124718,518.437683,308.990967,66.075012,470.716797,309.39917,70.39933,410.674652,310.90155,69.696815,342.661316,315.271667,64.500626,1
229,'2017/06/08 10:58:44:512',3,556.408447,290.29007,48.294094,511.664429,297.441589,65.914978,463.754913,301.148071,70.189117,405.2565,306.755859,69.446053,340.398132,316.895325,64.268356,1
230,'2017/06/08 10:58:44:562',3,543.703491,280.939423,48.855324,498.825562,288.913025,66.215073,450.823975,295.00351,70.353073,394.614014,302.425415,69.489929,334.494995,317.452393,64.196381,1
231,'2017/06/08 10:58:44:612',3,533.327942,276.102753,49.376522,485.79303,283.1716,66.613487,437.827606,290.262329,70.59697,383.858551,300.163574,69.514267,328.760895,318.398376,64.162109,1
232,'2017/06/08 10:58:44:662',3,525.79071,276.381927,49.737083,473.588165,281.081726,66.782906,425.171875,288.533569,70.559547,372.442261,298.88208,69.289749,320.845734,318.425293,63.900848,1
233,'2017/06/08 10:58:44:713',3,520.673279,282.679596,49.873081,462.554199,284.029907,66.673767,413.141388,291.05249,70.244553,360.676758,300.988007,68.802032,310.647003,321.147858,63.436695,1
234,'2017/06/08 10:58:44:762',3,517.856689,291.054443,50.273041,453.906128,287.880463,66.600739,402.76358,293.222778,69.920395,350.123596,302.106873,68.230148,300.444855,322.318237,62.823742,1
235,'2017/06/08 10:58:44:811',3,517.243774,297.694458,50.77317,447.885712,291.26828,66.66275,395.226929,294.902863,69.690666,342.484009,302.89563,67.722221,292.671509,322.828278,62.185207,1
236,'2017/06/08 10:58:44:862',3,517.767456,302.51059,51.347378,443.149353,292.309296,66.707314,389.240753,294.046936,69.403725,336.307281,300.717407,67.113998,285.529999,319.915131,61.375496,1
237,'2017/06/08 10:58:44:912',3,519.071716,305.654358,51.81461,440.781952,292.461853,66.78801,386.367645,292.481262,69.212402,332.900391,297.504547,66.630302,280.235535,315.349945,60.629234,1
238,'2017/06/08 10:58:44:961',3,522.077087,310.328979,52.58799,438.188232,291.812988,66.674118,383.155731,288.850098,68.544785,329.946594,290.664917,65.361176,276.53064,305.873138,58.82518,1
239,'2017/06/08 10:58:45:012',3,525.052429,313.936096,52.913731,439.525665,290.975067,66.41188,384.718414,285.675262,67.924789,332.205933,284.854614,64.311874,278.361969,297.734314,57.391323,1
240,'2017/06/08 10:58:45:062',3,528.274536,318.011108,52.790909,443.28363,294.011108,66.209541,389.254822,286.798889,67.563057,337.690033,282.566284,63.657928,283.897644,291.145264,56.281361,1
241,'2017/06/08 10:58:45:112',3,531.11615,319.847595,52.970432,445.482666,296.261658,66.498726,391.687469,288.092896,67.777374,340.390564,281.847107,63.699898,286.9104,287.447754,55.997635,1
242,'2017/06/08 10:58:45:162',3,536.220215,320.467377,52.77462,449.344849,300.147034,66.728897,395.762238,291.703644,68.049606,343.58432,282.781128,63.843891,289.961609,285.581299,55.931633,1
243,'2017/06/08 10:58:45:212',3,540.461975,320.898743,52.347187,452.851318,303.582642,66.709183,399.044037,294.249054,68.087494,346.649567,283.847473,63.830467,292.438171,284.371582,55.870056,1
244,'2017/06/08 10:58:45:262',3,546.111206,320.919769,51.505291,459.232788,307.928223,66.533714,405.22168,298.487183,68.161415,352.000702,286.914734,64.096382,296.208282,284.426941,56.243515,1
245,'2017/06/08 10:58:45:312',3,550.796326,320.706665,50.328587,467.44635,311.912323,65.975998,413.391907,302.809814,67.952728,359.03125,290.516968,64.239258,300.907715,285.358734,56.653328,1
246,'2017/06/08 10:58:45:363',3,558.736938,318.15332,48.214184,482.518921,315.94632,64.646431,428.604675,308.104034,67.172928,371.574036,295.798767,64.066368,309.787811,288.615936,57.030216,1
247,'2017/06/08 10:58:45:412',3,565.633423,312.407745,45.95681,499.125885,317.279297,62.9813,445.588531,311.815308,66.067543,385.152466,301.030518,63.635628,319.526306,293.602386,57.28891,1
